pk,dim_year,dim_month,dim_user,trip_count,duration_sum
bf483416-d711-4c06-9078-fb81def76c6e,2022,5,Annual Member,159526,116231725
eb4177cd-5750-416e-a387-9b44121a7d0b,2019,11,Annual Member,127842,91574325
98af38e5-0b93-4f27-b059-f3916f3bd9be,2019,8,Annual Member,262613,203003166
5376b721-11ed-430e-9634-9bdea8386142,2022,12,Annual Member,56240,35644852
bd4383bd-13c9-43d3-afc0-db9606ec3f23,2019,3,Annual Member,82197,58706263
129c4533-3377-4670-b13a-a249256c1359,2022,12,Casual Member,123558,101825077
4848f343-622b-4767-a197-133bf2583546,2020,9,Annual Member,281946,218034339
172b2f22-8df2-4282-9535-c537a90650b3,2021,6,Casual Member,155185,282633414
9d4da0d3-c8a0-4198-8692-59ae310b91dd,2022,1,Annual Member,40334,28020159
91183b29-6871-43c2-b17e-02eff3774689,2019,6,Annual Member,200542,165499850
b24eab1a-ab21-43cd-9f40-c03c25dea133,2019,12,Casual Member,4704,15497777
0a6eaf74-381c-4816-a9bf-13f4bf419205,2022,10,Casual Member,334788,315606443
f9ad0c54-d890-4ba1-a763-293c93b5c66c,2021,9,Annual Member,287583,210452829
82a9569e-8608-4212-b2de-520aaf2adde8,2019,5,Casual Member,49984,92062049
52df2a9e-1811-498b-af4d-b41d7071e42c,2020,5,Annual Member,100911,97100588
6cc92582-b467-452a-92aa-40220f665864,2020,11,Casual Member,59478,82557601
fd6f9b7b-f33e-4cdc-a175-e91f550aa11a,2021,3,Annual Member,122065,95139076
9278870a-eb5e-482f-9ff2-aa9494d115a5,2022,3,Annual Member,93215,59713098
6df9f96d-9ea2-4221-a525-c8dfdd931bab,2020,10,Annual Member,206798,152697256
fb5f00a0-c411-4bb8-8348-1b45b590e926,2021,3,Casual Member,35073,62093116
cacb4324-5572-4a04-8b06-d9eddc159d27,2019,9,Annual Member,251986,192167505
e9909a21-20a2-4ffe-b307-dbc296fd1be9,2021,10,Casual Member,232815,228460678
b6956bdc-c31b-46d1-a055-964752a01ec4,2022,10,Annual Member,164428,110816886
7bc66714-4955-4e40-8682-3fddf6edc988,2021,11,Casual Member,154874,136044676
0d02bc0b-814e-4415-802e-cc4ba97a5c20,2020,6,Annual Member,189615,180476066
a634524e-db11-4379-904b-42e125bd72ca,2022,7,Annual Member,313048,231661048
cb876734-7888-4591-8edc-53bf03d57d41,2020,5,Casual Member,95147,232849254
2d7f58b2-0dc3-4ed7-b3a8-ce55a3008d2c,2021,9,Casual Member,166563,233393022
7cd660df-3380-4e61-ab07-50bc0cf3acba,2019,4,Casual Member,21220,38188696
649f6970-878d-4cc7-8ce1-f0365dbad79c,2022,3,Casual Member,58621,68096401
61ec0ed0-ae26-4e5b-a655-4d9eeeb8933c,2021,2,Annual Member,52988,38968671
0d309e36-2f7f-4b07-b091-94cc8a54fc0b,2022,4,Casual Member,128346,150069142
3cebfa0b-ea4d-42fe-9f6f-70d381833b57,2019,8,Casual Member,154771,291559796
641e437f-754f-4502-a2d4-a15a5a51b455,2020,8,Annual Member,293326,238884165
daddb1b6-2330-4d7d-8bf4-986bfe97c1a5,2022,7,Casual Member,366572,477046570
6b80aafb-30c7-4d24-92fa-34c49547f776,2020,11,Annual Member,143362,105345195
2afd18ec-2e36-4ae1-9341-7832cc054553,2019,6,Casual Member,91372,177078169
b0c51de0-6758-4bdd-98ca-cbe8333de76a,2020,8,Casual Member,200750,337282109
59b28ec9-f4cc-461f-8266-4cfaf3cf25df,2021,1,Casual Member,24705,23981567
8fecec7e-006c-488f-8ce7-8c9f9649a52b,2019,2,Casual Member,1087,3457568
4bba42b6-b5b6-4e7a-aeee-886ee8a69512,2022,9,Annual Member,218216,156629685
9e7cd29f-ed8e-48cc-b962-8d970ce59101,2022,5,Casual Member,345047,411193765
b78f01da-03c4-4bbc-aa26-f9a788a794aa,2019,9,Casual Member,78707,138654476
d17a6080-550e-43e4-8dac-83effd69c839,2020,6,Casual Member,180655,380345043
a35d3327-2542-4936-a760-2a76d9213d8c,2021,12,Annual Member,108041,69789182
c0372c86-f334-40a3-b84c-08f8e1b7dfd3,2021,5,Casual Member,183611,356151662
533f9e26-701d-4bcb-9725-0d43c7b8ec58,2022,11,Annual Member,104413,70465174
cd96256d-0b58-478e-bc07-ca26250417a6,2021,8,Casual Member,190337,279728779
33cac307-8ed9-49b3-8caa-aa6e097020f6,2021,4,Casual Member,73515,136443547
0ed89557-b02b-4579-9c0a-4ab91094d12c,2020,4,Casual Member,19331,47066595
6286212b-f2c0-49c8-a73e-cfc9076bec4a,2020,10,Casual Member,70902,100367706
10293fd7-61b3-466c-8eac-032d01480537,2020,7,Casual Member,200010,368202741
a48b1665-d7de-43cc-bad7-433c6e7cc1e4,2021,7,Annual Member,291661,229077945
69e02d67-3f3d-4d3e-934e-74b1c5a3039b,2019,5,Annual Member,164622,122881751
5d670b8c-5b31-4a91-bd79-8375acd12a52,2021,11,Annual Member,87767,57853229
94ede763-06c7-4d71-9f2d-2b2227b54752,2019,7,Casual Member,121812,229342859
d0a49fea-c301-4ce6-940a-268b78ecd561,2021,12,Casual Member,37619,40584618
92a6411a-ff3a-49d1-acf6-aa44fb1b5703,2022,4,Annual Member,117426,78417100
27dcf05c-0b9c-40b0-8171-09ef0b3a323f,2020,12,Annual Member,72942,51025910
15b43bdc-73a2-4907-98a3-72ddb3c5d4bd,2020,1,Casual Member,4579,9914383
28e4bba7-e2eb-420a-b974-1d1c9998fc44,2022,8,Casual Member,412775,500861192
44d2042e-122b-4802-a605-3257e72722cf,2020,1,Annual Member,97481,67696873
e0ae6d16-105d-46b2-966f-79635c065d20,2019,1,Casual Member,1942,5121502
08a19b1d-8dbe-4efe-9cb5-18d7980f13b5,2022,8,Annual Member,291638,213417850
d4b2c523-d78f-4220-a07e-629a78f001a8,2021,5,Annual Member,239900,209102096
3825f37d-2c66-4a51-a2b5-27128cd63c21,2020,3,Casual Member,17073,36524148
b863ee0c-a37a-4a57-96da-1b22bbd2991e,2021,7,Casual Member,171269,265921829
98f2ab88-b6ed-4926-a483-dc8f197bd3b3,2019,4,Annual Member,123927,96404307
997bda41-dfde-47a0-b9ad-4d4ee5526b2e,2019,10,Annual Member,208760,149839065
